timestamp,open,high,low,close,volume
2022-03-25,1160.0000,1258.1650,1121.3728,1166.3300,2779832
2022-03-18,887.9200,1191.4674,877.6850,1185.5300,3683855
2022-03-11,1067.9900,1069.8800,891.6300,891.6900,3967411
2022-03-04,1093.3900,1176.7550,1048.8900,1055.7800,3266299
2022-02-25,913.0000,1118.3320,858.9900,1111.3900,5605027
2022-02-18,1091.1200,1176.8650,936.0100,937.2600,3407410
2022-02-11,1040.0000,1156.7600,1015.0000,1091.0900,2357874
2022-02-04,1055.8700,1153.4700,984.0000,1035.3300,2738662
2022-01-28,1009.0000,1050.7800,957.6000,1048.6300,4121229
2022-01-21,1092.1000,1148.8699,1046.4700,1052.5600,2841343
2022-01-14,1048.4200,1227.3100,1001.0100,1122.7400,4712525
2022-01-07,1355.0100,1360.7650,1072.9100,1085.3600,4343807
2021-12-31,1275.0000,1365.9700,1273.0000,1348.4000,2057728
2021-12-23,1150.2600,1265.6550,1138.6400,1262.7300,1728036
2021-12-17,1141.9600,1260.3000,1125.0250,1187.5500,3481392
2021-12-10,1050.0000,1221.1900,1018.7300,1144.5000,5458979
2021-12-03,1286.9200,1292.4500,1040.8400,1052.9500,5708802
2021-11-26,1429.1300,1435.0000,1244.0000,1258.7100,3302700
2021-11-19,1603.6200,1642.6100,1394.0100,1401.2700,3942789
2021-11-12,1644.3800,1711.0200,1563.2200,1597.1500,2234945
2021-11-05,1485.5800,1705.1400,1471.7400,1629.7600,2665128
2021-10-29,1521.3475,1561.8600,1477.4800,1481.0200,1902741
2021-10-22,1569.1100,1619.3500,1499.4650,1503.7800,1868000
2021-10-15,1500.0400,1572.8600,1452.3901,1563.0900,1864191
2021-10-08,1647.5200,1650.9000,1505.1000,1511.1900,2250783
2021-10-01,1842.5600,1844.9500,1641.0100,1667.6000,2090286
2021-09-24,1821.1300,1913.7700,1777.9500,1869.6200,1233464
2021-09-17,1858.7800,1905.3230,1811.7900,1878.2300,1135067
2021-09-10,1953.1200,1962.7850,1847.2500,1847.4100,1146201
2021-09-03,1853.5500,1970.1300,1848.2200,1946.0100,1555180
2021-08-27,1793.0100,1874.5600,1771.2100,1865.0000,1561158
2021-08-20,1850.0000,1865.1450,1744.6350,1786.5400,1648501
2021-08-13,1765.2200,1899.3300,1736.4201,1851.6000,2158478
2021-08-06,1587.9100,1812.9500,1539.7400,1756.2700,2572498
2021-07-30,1610.0000,1651.7950,1524.9500,1568.7000,1627494
2021-07-23,1488.7100,1626.0500,1471.2300,1613.8100,1392777
2021-07-16,1555.0100,1579.0200,1484.7000,1512.5100,1407103
2021-07-09,1557.5100,1574.0000,1477.1101,1554.9700,1073934
2021-07-02,1551.0000,1584.8722,1516.4160,1551.9600,1129713
2021-06-25,1468.6000,1576.2100,1440.3500,1541.7200,1718047
2021-06-18,1396.2300,1482.7300,1390.6880,1468.0600,2369687
2021-06-11,1320.5100,1406.7000,1300.4400,1392.7500,2271970
2021-06-04,1371.7900,1380.0050,1318.8700,1325.4200,1372250
2021-05-28,1373.4300,1405.0899,1344.6100,1358.6700,2047981
2021-05-21,1309.0200,1406.1550,1297.9700,1367.1200,2512251
2021-05-14,1460.7800,1464.2960,1262.3800,1323.1000,3352608
2021-05-07,1579.0000,1625.0600,1432.3760,1481.2600,2810122
2021-04-30,1598.4200,1649.9100,1560.5000,1570.9800,1687465
2021-04-23,1571.2600,1614.0900,1506.4759,1600.9100,1764881
2021-04-16,1563.1100,1629.2912,1536.4200,1591.8800,1660856
2021-04-09,1528.8100,1600.2000,1462.0000,1584.7300,2087446
2021-04-01,1430.6900,1570.2900,1368.4400,1510.5000,1939609
2021-03-26,1454.6400,1492.1500,1337.9500,1431.9700,2575796
2021-03-19,1536.5900,1620.1104,1420.0100,1448.8900,2565159
2021-03-12,1450.0000,1588.0000,1362.4950,1550.1500,3735271
2021-03-05,1691.0300,1724.2300,1348.9100,1470.2400,5469027
2021-02-26,1878.4800,1881.5000,1575.0001,1638.1100,3562595
2021-02-19,1958.5000,2006.7100,1827.6900,1910.3900,1605005
2021-02-12,1948.0000,1955.0000,1863.5400,1943.0000,1837313
2021-02-05,1812.5800,1938.5900,1810.0050,1918.1300,2062268
2021-01-29,2006.0000,2012.8000,1700.0000,1779.5100,3658999
2021-01-22,1888.1700,2020.0000,1861.0000,1965.0500,2481103
2021-01-15,1701.1600,1889.6200,1675.0000,1851.7800,2789160
2021-01-08,1690.9900,1725.0000,1564.9500,1719.0000,3874869
2020-12-31,1700.0000,1723.9605,1625.7000,1675.2200,1121754
2020-12-24,1707.6500,1735.7500,1665.3000,1690.4800,1319187
2020-12-18,1612.0000,1727.9700,1610.0000,1723.6800,2430819
2020-12-11,1557.2000,1628.9100,1512.6000,1606.6300,2545157
2020-12-04,1529.5100,1577.0000,1475.8500,1557.3800,2438514
2020-11-27,1431.4700,1519.1800,1401.3501,1513.4300,1999256
2020-11-20,1286.5500,1423.9700,1275.8900,1416.9900,2445132
2020-11-13,1445.5052,1450.4250,1219.1400,1301.6600,3771379
2020-11-06,1229.4500,1490.6650,1192.1400,1485.8600,2817257
2020-10-30,1303.0800,1327.3900,1195.0100,1214.0500,2015343
2020-10-23,1273.0000,1378.5000,1266.7800,1312.1600,2734844
2020-10-16,1236.2300,1283.9650,1201.8900,1271.3800,2563501
2020-10-09,1085.7800,1202.9900,1079.0834,1199.8400,2187280
2020-10-02,1101.5700,1117.8600,1063.7000,1079.3300,1885937
2020-09-25,984.3900,1072.7200,966.7400,1062.0000,2571293
2020-09-18,1056.0000,1065.0000,959.8700,998.0600,2711758
2020-09-11,1015.0800,1090.8150,1014.5400,1032.9800,2476503
2020-09-04,1174.7500,1225.0000,1000.0000,1083.3800,4092832
2020-08-28,1217.0000,1244.1500,1172.8608,1178.9000,1857902
2020-08-21,1171.7600,1229.7200,1165.0100,1202.2800,1827016
2020-08-14,1267.0000,1270.0000,1090.0000,1156.4400,3529470
2020-08-07,1124.9900,1248.2200,1124.9900,1193.9700,2840288
2020-07-31,1004.4800,1150.8238,996.0000,1124.6200,2845079
2020-07-24,980.3400,1059.9900,952.2200,988.9900,1999048
2020-07-17,1058.0100,1125.0000,941.4400,964.7200,2361100
2020-07-10,1001.9300,1035.8500,986.9000,1035.8300,2169300
2020-07-02,970.3000,997.9900,949.9800,988.4200,1479200
2020-06-26,953.9400,998.1100,942.0000,973.1700,2253609
2020-06-19,885.8600,967.2700,877.0200,952.9600,2721872
2020-06-12,866.9400,900.8000,840.4300,896.4300,2655196
2020-06-05,852.6700,877.6800,837.7600,866.9300,2124311
2020-05-29,859.1400,864.0500,783.0100,851.6700,2110207
2020-05-22,792.5300,843.3800,786.0300,841.3100,2546658
2020-05-15,780.0000,805.8400,746.0100,775.0500,2497828
2020-05-08,596.3000,798.1000,592.7200,784.5200,5119172
2020-05-01,591.4300,611.7600,570.0100,605.5200,2656561
2020-04-24,593.7200,617.9638,553.6100,571.2700,2925417
2020-04-17,528.0200,633.2000,517.0100,597.5000,3204089
2020-04-09,473.8800,557.8500,470.0900,533.2800,2288079
2020-04-03,474.5400,499.9000,435.0400,454.4700,3932437
2020-03-27,453.3400,518.8500,425.3800,471.4300,4243384
2020-03-20,455.0000,525.5300,422.2200,452.8800,4568385
2020-03-13,547.3600,599.0800,472.2500,535.6900,5103148
2020-03-06,621.2400,670.0000,585.8900,614.5100,2726086
2020-02-28,701.0100,702.0000,572.7700,616.0300,5755259
2020-02-21,734.3800,756.4800,721.4900,735.6000,2738941
2020-02-14,647.1000,735.2400,608.8679,735.0100,5154000
2020-02-07,667.0000,725.1900,642.9200,646.0200,2857449
2020-01-31,647.0000,681.0000,636.3650,663.0000,1634503
2020-01-24,665.0000,677.7700,647.0000,660.5800,1485918
2020-01-17,670.4400,697.2200,640.0100,673.0100,2901131
2020-01-10,601.0400,670.1500,601.0000,669.4800,2120473
2020-01-03,603.0900,615.8400,568.9400,607.8000,1688306
2019-12-27,595.0700,605.9400,593.0100,599.2400,858073
2019-12-20,571.0000,593.0000,567.0200,592.5400,2204445
2019-12-13,584.7500,595.2500,566.0694,567.6700,2132568
2019-12-06,579.8700,590.6400,555.8800,583.0000,1794381
2019-11-29,567.2300,598.5500,566.9700,580.5800,1555770
2019-11-22,550.1100,567.4700,518.1900,565.5000,2804115
2019-11-15,491.4200,551.6400,489.5800,550.1000,3466331
2019-11-08,498.8400,504.5500,470.1000,494.4200,3524708
2019-11-01,554.0000,558.3400,488.3700,490.0000,4151770
